ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
1,Заведение,Сaves da cerveja,Ресторан-пивоварня,Португалия,Круг,Да,-,,,,,,,,
2,Заведение,-,-,Беларусь,Круг,Нет,-,,,,,,,,
3,Заведение,Корс,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
4,Пиво,Kukko,Pilsner,Финляндия,Круг,Да,Lager,Pilsner,,,,,,,
5,Пиво,Lāčplēsis Dzīvs,Kellerbier,Латвия,Круг,Да,Lager,German lager,Kellerbier,,,,,,
6,Заведение,München,Пивоварня,Германия,Круг,Нет,-,,,,,,,,
7,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
8,Пиво,Wells Bombardier,English Bitter,Англия,Круг,Нет,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
9,Пиво,Heineken,Lager,Голландия,Круг,Да,Lager,,,,,,,,
10,Заведение,Alpirsbacher Klosterbräu,Пивоварня,Германия,Круг,Нет,-,,,,,,,,
11,Пиво,Budweiser Budvar,Pilsner,Чехия,Круг,Да,Lager,Pilsner,,,,,,,
12,Заведение,The Bulldog,Паб,Голландия,Круг,Да,-,,,,,,,,
13,Пиво,Gösser NaturGold,Non-Alcoholic,Австрия,Круг,Да,-,,,,,,,,
14,Пиво,Sion Kölsch,Kölsch,Германия,Круг,Да,Lager,Kolsch,,,,,,,
15,Заведение,Augustiner-Bräu München,Пивоварня,Германия,Круг,Да,-,,,,,,,,
16,Пиво,Birzu Alaus Darykla 1686 Jubiliejinis Plus,Old Ale,Литва,Круг,Да,Ale,Pale Ale,Strong Pale Ale,Old Ale,,,,,
17,Пиво,Золотая Бочка Светлое,Lager,Россия,Круг,Нет,Lager,,,,,,,,
18,Заведение,Münhell,Пивоварня,Россия,Другое,Да,-,,,,,,,,
19,Виски,Teerenpeli,Single Malt,Финляндия,Квадрат,Да,-,,,,,,,,
20,Пиво,Carling Extra Cold,Lager,Англия,Квадрат,Да,Lager,,,,,,,,
21,Пиво,Krušovice,Много,Чехия,Квадрат,Да,-,,,,,,,,
22,Пиво,Krušovice,Много,Чехия,Квадрат,Да,-,,,,,,,,
23,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
24,Заведение,Poutník,Пивоварня,Чехия,Квадрат,Да,-,,,,,,,,
25,Пиво,Augustijn,Много,Бельгия,Квадрат,Да,-,,,,,,,,
26,Пиво,Бочкарев Светлое,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
27,Пиво,Budweiser,Lager,США,Круг,Да,Lager,,,,,,,,
28,Пиво,Старый Мельник Светлое,Lager,Россия,Квадрат,Нет,Lager,,,,,,,,
29,Заведение,Rock Bottom,Пивоварня,США,Квадрат,Да,-,,,,,,,,
30,Заведение,Jedes Krugerl,Ресторан-пивоварня,Австрия,Квадрат,Нет,-,,,,,,,,
31,Заведение,AF Brew,Пивоварня,Россия,Круг,Нет,-,,,,,,,,
32,Пиво,Duchesse de Bourgogne,Flanders Red Ale,Бельгия,Круг,Нет,Ale,German Ale,Sour,Flanders Red Ale,,,,,
33,Заведение,Draft Republic,Ресторан-пивоварня,США,Круг,Нет,-,,,,,,,,
34,Пиво,Gordon,Много,Бельгия,Круг,Нет,-,,,,,,,,
35,Заведение,Craft,Магазин,Россия,Круг,Нет,-,,,,,,,,
36,Пиво,Lambic de Metropole,Lambic,Россия,Круг,Нет,Ale,Lambic,,,,,,,
37,Пиво,Amstel,Lager,Голландия,Круг,Нет,Lager,,,,,,,,
38,Заведение,Староместный пивовар,Ресторан-пивоварня,Беларусь,Круг,Нет,-,,,,,,,,
39,Пиво,Василеостровское,Lager,Россия,Круг,Нет,Lager,,,,,,,,
40,Заведение,Пивной Рай,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
41,Пиво,Pražský most,Pilsner,Чехия,Круг,Нет,Lager,Pilsner,,,,,,,
42,Заведение,Наbeerежная,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
43,Заведение,Градъ Петровъ,Ресторан-пивоварня,Россия,Круг,Нет,-,,,,,,,,
